country,continent,year,lifeExp,pop,gdpPercap,log_gdp
Afghanistan,Asia,1952,28.801,8425333,779.4453145,6.658582531
Afghanistan,Asia,1957,30.332,9240934,820.8530296,6.71034408
Afghanistan,Asia,1962,31.997,10267083,853.10071,6.748877606
Afghanistan,Asia,1967,34.02,11537966,836.1971382,6.728864397
Afghanistan,Asia,1972,36.088,13079460,739.9811058,6.606624653
Afghanistan,Asia,1977,38.438,14880372,786.11336,6.667101006
Afghanistan,Asia,1982,39.854,12881816,978.0114388,6.885521366
Afghanistan,Asia,1987,40.822,13867957,852.3959448,6.748051143
Afghanistan,Asia,1992,41.674,16317921,649.3413952,6.475958611
Afghanistan,Asia,1997,41.763,22227415,635.341351,6.454162415
Afghanistan,Asia,2002,42.129,25268405,726.7340548,6.588560599
Afghanistan,Asia,2007,43.828,31889923,974.5803384,6.882006956
Albania,Europe,1952,55.23,1282697,1601.056136,7.378418775
Albania,Europe,1957,59.28,1476505,1942.284244,7.571620005
Albania,Europe,1962,64.82,1728137,2312.888958,7.746252653
Albania,Europe,1967,66.22,1984060,2760.196931,7.923057308
Albania,Europe,1972,67.69,2263554,3313.422188,8.105736828
Albania,Europe,1977,68.93,2509048,3533.00391,8.169903754
Albania,Europe,1982,70.42,2780097,3630.880722,8.197230521
Albania,Europe,1987,72,3075321,3738.932735,8.226555485
Albania,Europe,1992,71.581,3326498,2497.437901,7.823020646
Albania,Europe,1997,72.95,3428038,3193.054604,8.068733294
Albania,Europe,2002,75.651,3508512,4604.211737,8.434726759
Albania,Europe,2007,76.423,3600523,5937.029526,8.688964207
Algeria,Africa,1952,43.077,9279525,2449.008185,7.803438399
Algeria,Africa,1957,45.685,10270856,3013.976023,8.011015424
Algeria,Africa,1962,48.303,11000948,2550.81688,7.844168932
Algeria,Africa,1967,51.407,12760499,3246.991771,8.085484238
Algeria,Africa,1972,54.518,14760787,4182.663766,8.338703587
Algeria,Africa,1977,58.014,17152804,4910.416756,8.499114096
Algeria,Africa,1982,61.368,20033753,5745.160213,8.656113077
Algeria,Africa,1987,65.799,23254956,5681.358539,8.644945663
Algeria,Africa,1992,67.744,26298373,5023.216647,8.521825774
Algeria,Africa,1997,69.152,29072015,4797.295051,8.475807507
Algeria,Africa,2002,70.994,31287142,5288.040382,8.573203018
Algeria,Africa,2007,72.301,33333216,6223.367465,8.736066432
Angola,Africa,1952,30.015,4232095,3520.610273,8.166389627
Angola,Africa,1957,31.999,4561361,3827.940465,8.2500822
Angola,Africa,1962,34,4826015,4269.276742,8.359199711
Angola,Africa,1967,35.985,5247469,5522.776375,8.616635979
Angola,Africa,1972,37.928,5894858,5473.288005,8.607634813
Angola,Africa,1977,39.483,6162675,3008.647355,8.009245873
Angola,Africa,1982,39.942,7016384,2756.953672,7.921881607
Angola,Africa,1987,39.906,7874230,2430.208311,7.795732257
Angola,Africa,1992,40.647,8735988,2627.845685,7.873919658
Angola,Africa,1997,40.963,9875024,2277.140884,7.730675937
Angola,Africa,2002,41.003,10866106,2773.287312,7.927788651
Angola,Africa,2007,42.731,12420476,4797.231267,8.475794211
Argentina,Americas,1952,62.485,17876956,5911.315053,8.684623599
Argentina,Americas,1957,64.399,19610538,6856.856212,8.833004338
Argentina,Americas,1962,65.142,21283783,7133.166023,8.872510457
Argentina,Americas,1967,65.634,22934225,8052.953021,8.993794138
Argentina,Americas,1972,67.065,24779799,9443.038526,9.153033085
Argentina,Americas,1977,68.481,26983828,10079.02674,9.218211983
Argentina,Americas,1982,69.942,29341374,8997.897412,9.104746208
Argentina,Americas,1987,70.774,31620918,9139.671389,9.120379711
Argentina,Americas,1992,71.868,33958947,9308.41871,9.138674507
Argentina,Americas,1997,73.275,36203463,10967.28195,9.302671751
Argentina,Americas,2002,74.34,38331121,8797.640716,9.082238864
Argentina,Americas,2007,75.32,40301927,12779.37964,9.455588185
Australia,Oceania,1952,69.12,8691212,10039.59564,9.214292118
Australia,Oceania,1957,70.33,9712569,10949.64959,9.301062734
Australia,Oceania,1962,70.93,10794968,12217.22686,9.410602272
Australia,Oceania,1967,71.1,11872264,14526.12465,9.583704007
Australia,Oceania,1972,71.93,13177000,16788.62948,9.72845712
Australia,Oceania,1977,73.49,14074100,18334.19751,9.816523311
Australia,Oceania,1982,74.74,15184200,19477.00928,9.876990038
Australia,Oceania,1987,76.32,16257249,21888.88903,9.993734437
Australia,Oceania,1992,77.56,17481977,23424.76683,10.06154915
Australia,Oceania,1997,78.83,18565243,26997.93657,10.20351572
Australia,Oceania,2002,80.37,19546792,30687.75473,10.33161899
Australia,Oceania,2007,81.235,20434176,34435.36744,10.44683944
Austria,Europe,1952,66.8,6927772,6137.076492,8.722103766
Austria,Europe,1957,67.48,6965860,8842.59803,9.087336007
Austria,Europe,1962,69.54,7129864,10750.72111,9.282728111
Austria,Europe,1967,70.14,7376998,12834.6024,9.459900115
Austria,Europe,1972,70.63,7544201,16661.6256,9.720863486
